Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
1,1658745175399,25/07/2022 10:32:55,1658745175326,1,25/07/2022 11:32:55,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1658745177107,25/07/2022 10:32:57,1658745177095,1,25/07/2022 11:32:57,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,1,1,1,Screen 1,button,continue_keyboard,1715.5,,,,,0,1,0,,,,,,instructions,,,,,
3,1658745179967,25/07/2022 10:32:59,1658745179953,1,25/07/2022 11:32:59,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,2,1,1,Screen 1,advancementZone,continue_keyboard,2851.800000000745,,,,,0,1,0,,,,,,practice instructions,,,,,
4,1658745180965,25/07/2022 10:33:00,1658745180938,1,25/07/2022 11:33:00,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,55,1,1,Screen 1,button,timelimit_screen,1000.1859999999997,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
5,1658745181988,25/07/2022 10:33:01,1658745181937,1,25/07/2022 11:33:01,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,55,1,2,Screen 2,button,timelimit_screen,999.9070000000002,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
6,1658745183966,25/07/2022 10:33:03,1658745183138,1,25/07/2022 11:33:03,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,55,1,3,TEST,gosignal,gonogo,1200.2120000000004,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
7,1658745184024,25/07/2022 10:33:04,1658745183337,1,25/07/2022 11:33:03,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,55,1,6,IsTrue,button,timelimit_screen,199.96500000000015,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
8,1658745186996,25/07/2022 10:33:06,1658745184337,1,25/07/2022 11:33:04,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,49,1,1,Screen 1,button,timelimit_screen,1000.0540000000001,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
9,1658745187089,25/07/2022 10:33:07,1658745185337,1,25/07/2022 11:33:05,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,49,1,2,Screen 2,button,timelimit_screen,1000.0189999999984,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
10,1658745187089,25/07/2022 10:33:07,1658745185814,1,25/07/2022 11:33:05,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,49,1,3,TEST,Zone1,response_keyboard_single,468.7999999988824,,,Left,1,1,0,0,,,,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
11,1658745187089,25/07/2022 10:33:07,1658745186737,1,25/07/2022 11:33:06,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,49,1,6,IsTrue,button,timelimit_screen,199.93299999999908,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
12,1658745187752,25/07/2022 10:33:07,1658745187737,1,25/07/2022 11:33:07,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,27,2,1,Screen 1,button,timelimit_screen,1000.1170000000002,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
13,1658745188754,25/07/2022 10:33:08,1658745188738,1,25/07/2022 11:33:08,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,27,2,2,Screen 2,button,timelimit_screen,999.7800000000007,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
14,1658745189957,25/07/2022 10:33:09,1658745189938,1,25/07/2022 11:33:09,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,27,2,3,TEST,gosignal,gonogo,1200.0819999999985,,,NoGo,,1,0,0,,,,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
15,1658745190824,25/07/2022 10:33:10,1658745190137,1,25/07/2022 11:33:10,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,27,2,6,IsTrue,button,timelimit_screen,200.20800000000054,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
16,1658745221174,25/07/2022 10:33:41,1658745191137,1,25/07/2022 11:33:11,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,41,2,1,Screen 1,button,timelimit_screen,999.9889999999996,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
17,1658745221174,25/07/2022 10:33:41,1658745192137,1,25/07/2022 11:33:12,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,41,2,2,Screen 2,button,timelimit_screen,1000.1530000000021,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
18,1658745221174,25/07/2022 10:33:41,1658745192681,1,25/07/2022 11:33:12,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,41,2,3,TEST,Zone1,response_keyboard_single,536.8000000007451,,,Left,1,1,0,0,,,,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
19,1658745221174,25/07/2022 10:33:41,1658745193537,1,25/07/2022 11:33:13,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,41,2,6,IsTrue,button,timelimit_screen,199.9290000000001,,,,,0,1,0,,,1,,1,taskGo,Left_go.png,Left,200,Left_go.png,NoGo
20,1658745221174,25/07/2022 10:33:41,1658745194537,1,25/07/2022 11:33:14,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,19,3,1,Screen 1,button,timelimit_screen,1000.0480000000025,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
21,1658745221174,25/07/2022 10:33:41,1658745195537,1,25/07/2022 11:33:15,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,19,3,2,Screen 2,button,timelimit_screen,999.8989999999976,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
22,1658745221174,25/07/2022 10:33:41,1658745196738,1,25/07/2022 11:33:16,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,19,3,3,TEST,gosignal,gonogo,1200.2070000000022,,,NoGo,,1,0,0,,,,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
23,1658745221174,25/07/2022 10:33:41,1658745196938,1,25/07/2022 11:33:16,92270,31,task-1njw,,23277038,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - After Caffeine ,6,task full ,task full ,19,3,6,IsTrue,button,timelimit_screen,199.98899999999776,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,200,Left_nogo.png,IsTrue
